Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
ru_hy_con_,133,J133,133,G133,rubber condoms (incl. packaging),"A thin rubber sheath, used during sexual intercourse as a contraceptive or as a protection against infection. Within this category also the packaging should be recorded."
ru_nn_oru_,134,J134,134,G134,other rubber pieces,"Other identifiable rubber pieces, which do not fit in any other category of this list."
pl_nn_bag_hdsa_,,,,,plastic heavy-duty sacks,"Heavy duty sacks are plastic sacks typically designed to contain more than 25 kg of content such as animal feed, fertilizers, garden rubbish, etc."
ct_cl_,,,135,G135,"cloth textile clothing, footwear, headwear, gloves","Cloth textile clothing, footwear, headwear, gloves."
pl_cl_,,,135,G135,"plastic clothing, footwear, headwear, gloves","Plastic clothing, footwear, headwear, gloves. "
pl_nn_bag_mesh_vege_,239,J238,,,"plastic mesh bags for vegetable, fruit and other products","A special mesh bag made out of polypropylene, polyethylene or high-density polyethylene used for packaging and transporting agricultural products such as vegetables, fruit, bird feed, etc."
pl_cl_ftw_shoe_,136,J136,136,G136,footwear made of plastic - not flip flops,Items of footwear made of plastic - not flip flops.
ct_cl_clg_,137,J137,137,G137,clothing,"Any type of clothes, garments and headwear made of natural or artificial polymer materials."
ct_cl_ftw_,138,J138,138,G138,shoes & sandals made of leather and/or textile,Various types of footwear such as shoes and sandals made of leather and/or textile.
ct_re_bps_,139,J139,139,G139,cloth textile backpacks & textile bags,"Textile receptacles with an opening at the top, shoulder straps or a handle, used for carrying things."
ct_nn_sac_,140,J140,140,G140,hessian sacks/packaging,"Sacks and other packaging items made of a strong, coarse fabric from hemp or jute (Hessian)."
ct_nn_cpt_,141,J141,141,G141,cloth textile carpet & furnishing,"Thick woven fabric used for covering the floor or other fabric used for furniture, fittings, and other decorative house accessories such as curtains."
ct_nn_sal_,143,J143,143,G143,"sails, canvas","A heavy durable cloth made of cotton, hemp, or jute, used for sails, tents, etc."
